1683|M|Abenese Hoshi of Kitai|JBT d 09|...|CFA 6662-000013 V112||
3047|F|Akumaizer's Barafu Neko|JBT f|...|CFA 6647-152789 V0785|3051|3048
3048|F|Akumaizer's Hihana|JBT f|...|CFA 6647-083437 V1281||
3049|F|Akumaizer's Kiku|JBT f|...|CFA 6647-000021 V112||
3050|M|Akumaizer's Ofa Neko|JBT d 22|...|CFA 6640-152788 V0785|148979|3049
3051|M|Akumaizer's Shogun|JBT n 22|...|CFA 6644-083438 V0482||
5146|F|Anfisa|NEM n 21|...|Missing Info (040)||
5823|F|Anthany's Rap Saidai of Cacin|JBT n 09|02-08-1998|CFA 6661-516165 V0290||
9666|F|Barselona iz Odissei|NEM f 21|...|PEC-0024/SIB/2004||
9877|M|Bassetti's Ando of Benhana|JBT n 09|08-06-2003|CFA 6660-1448585 V0705|9884|9903
9879|F|Bassetti's Bunji|JBT n 09|...|CFA 6661-260133 V0686|19908|187601
9880|F|Bassetti's Fujiko|JBT f 09|07-05-1998|CFA 6649-1204462 V0999|9884|9901
9881|M|Bassetti's Honto|JBT n 09|08-04-1991|FD LO 65814|9897|19909
9883|F|Bassetti's Jazu|JBT f 09|26-09-1995|CFA 6649-1027705 V0197|9897|138931
9884|M|Bassetti's Kenichi, DM|JBT n 09|07-05-1995|CFA 6660-1001603 V0996|140687|143497
9885|F|Bassetti's Kimi of Benhana|JBT f 09|11-03-2003|CFA 6649-1442958 V0705|9884|9886
9886|F|Bassetti's Kimiko|JBT d 09|07-05-2000|CFA 6663-1320824 V0102|9896|9880
9887|F|Bassetti's Kisu|JBT f 09|...|CFA 6649-337865 V0287|9897|187602
9888|F|Bassetti's Kitsui|JBT f|08-05-1988|FD LO 71737|140836|9902
9889|F|Bassetti's Mimidzuku|JBT d 09|11-04-1988|FD LO 70729|9897|9904
9892|M|Bassetti's Nemui Ryu|JBT n 09|...|SRK LO 17596|9897|166190
9893|M|Bassetti's Onajikoto Kin, DM|JBT d 09|05-06-1993|CFA 6662-860948 V0895||
9894|F|Bassetti's Oshima of Benhana, DM|JBT n 09|...|CFA 6649-1304804|9884|9903
9895|F|Bassetti's Poketto Kin of Nekomo|JBT f 09|13-01-1999|CFA 6649-1245859 V0202||
9896|M|Bassetti's Saisho Junia, DM|JBT d 09|05-07-1991|CFA 6690-726076 V1292|9897|137903
9897|M|Bassetti's Saisho, DM|JBT d 09|...|Kat ID: 168288|128179|128176
9898||Bassetti's Saisho, DM|JBT d 01|04-07-1984|Kat ID: 283083||
9899|M|Bassetti's Sashitaru|JBT n 09|15-08-1991|CFA 6660-737416||
9900|M|Bassetti's Seiko Saki of Kiddlyn|JBT d 09|...|CFA 6662-354566 V1087||
9901|F|Bassetti's Shimi Ten|JBT f 09|17-03-1996|CFA 6649-1060173 V0697||
9902|F|Bassetti's Suki|JBT d 09 22|...|CFA 6691-417570 V0588|9897|9887
9903|F|Bassetti's Tokubetsu, DM|JBT f 09|15-11-1997|CFA 6649-1178045 V0799|166188|9883
9904|F|Bassetti's Zuzushii of Maricho|JBT f 09|...|CFA 6649-382503 V0488|9897|9879
11093|F|Benhana Fujiko|JBT f 01|16-10-2005|FD LO 139921|9877|9885
11094|M|Benhana Hideki|JBT d 09|06-06-2006|FD LO 153638|9877|11095
11095|F|Benhana Keiko|JBT f 09|...|CFA 6649-1510121|148487|9894
11347|M|Berrycurl Teddiebear|SRS non n 33|...|CFA 4972-1470743|159391|159395
11348|M|Berrycurls Bear Necessities|SRL non es 03|...|CFA 5716-1470629|159391|159395
11349|F|Berrycurl's Coat- Of-Many-Colors|SRL non f|...|CFA 5747-1470630|159391|159395
11350|F|Berrycurl's Parfait Of Purrfectcurl|SRL non ds 03|...|CFA 5761-1517103|11348|190737
11739|F|Big Panthers Lola of Lykken|SRS non gs|...|AOP 093008|120072|11742
11742|F|Big Panther's Top Secret|SRS a 03|...|IRCC 10381|22328|181826
11761|F|Biggi v. Aurachgrund|SRS non h|...|WCF DE 63059 RIEX|118449|127289
14202|M|Boncuk af Misapotanien|SRL non c 09|03-05-2010|(DK)FD LO 158719|184660|187923
16257|M|Cacin Shinobi of Kiddlyn|JBT n|10-04-1991|CFA 6808-707161 V0395|16256|5823
16258|M|Cacin's Tokidoki of Fujicats|JBT n 09|06-07-1999|CFA 6660-1270861 V0301||
16412|M|Calicurl Blue Curly Bear|SRL non a|29-01-2007|FD RX 153646|16414|16419
16413|M|Calicurl Sugar Candymoon|SRS non n|18-03-2007|FD RX 153650|16415|16418
16414|M|Calicurl's Casper|SRL non n|...|CFA 5708-1542109|16417|16420
16415|M|Calicurl's Dexter|SRS non d 03|...|CFA 4760-1542108|16416|11350
16416|M|Calicurl's Igor Of PurrFectcurl|SRS non d|...|CFA 4710-1528519|159389|176106
16417|M|Calicurl's Mikey|SRL non d|...|CFA 5798-1541939|11347|159392
16418|F|Calicurl's Ophelia|SRL non n 33|...|CFA 5799-1541938|11347|159392
16419|F|Calicurl's Tater Tot|SRL non n|...|CFA 5973-1541941|159394|11349
16420|F|Calicurl's Yoda|SRS non f|...|CFA 4747-1542106|159389|176106
16579|M|Camillo v. Doerpen|THA non|...|WCF DE 8228 RIEX|174541|162912
17443|M|Castilleja's Ivanhoe of Kirleekat|SRL non n|...|CFA 2860-1380991 V1202|143866|143868
17549|F|Catbalu Bella|SRS non g 03|...|GCCF CSREF 557104||
17550|M|Catbalu Cinnamon-Moon|SRS non o|30-03-2008|FD RX 156536|17551|17564
17551|M|Catbalu Creme-Royale|SRS non e|...|GCCF CSEXP 639937|17556|17559
17554|F|Catbalu Frascati|SRS non a 03|...|GCCF CSREF 584193||
17556|M|Catbalu Indiana|SRS non d 03|...|GCCF CSEXP 590900|17560|17549
17558|F|Catbalu Maid To Order|SRS non p 03|...|GCCF CSEXP 634362|17557|17554
17564|F|Catbalu Xante|SRS non o 03|...|GCCF CSEXP 671385|8583|17558
18085|F|Celandine's Curly Chayenne Joya|SRL non g 09|...|AOP 110307 030|129275|18086
18150|F|Celina von Westhausen|SRS non ns 11|...|EZVS e.V 01046293||
19002|F|Charnfield Chanterelle|SRL non fs|...|GCCF CSSR 321058|191528|19003
19004|M|Charnfield Curtis|SRL non ns|...|GCCF CSSR 365096|150265|19002
19907|M|Choneko Nanki Poo|JBT n 09|...|CFA 6660-207935 V0685||
19908|M|Choneko Ronin Renko of Genji|JBT n 09|...|CFA 6660-189454 V0385||
19909|F|Choneko Sawagi Hachi of Bassetti|JBT f 09|...|CFA 6649-513666 V0590|176170|125539
19910|M|Choneko Shirlon-Kin of Kurisumasu|JBT w 61|12-12-1993|CFA 6600-912091 V0595||
19942|M|Chotto Tatsu Toku of Tamosha|JBT n 09 22|19-04-2000|CFA 6690-1325980 V0402||
21074|F|Co-Mc Topsy of Minusdetails|SRS non g 33|...|CFA 0649-882439 V1293||
22325|M|Curly Ice Bear Da Silva of Lykken|SRL non w|...|TICA BOP 050209 059|180530|155744
22326|F|Curly Kiss My form Sham|SRL non a|24-04-2007|FD RX 153639|150853|132812
22328|M|Curly Oberon van Brifety|SRS non c 33|...|A2006-7251||
22329|M|Curly Sherman van Brifety|SRS non c 33|06-08-2006|FD RX 144050|183058|131289
22330|F|Curly Yaleane from Sham|SRS non f 03|...|SEL-RIEX-2601/5.05|126549|140667
23097|M|Dante Allegonda|SRS non e 09|...|(NL)SRS 0703.00||
23842|M|Deenewkurl Slow Gin Fuzz|SRL non d 22|...|TICA 5762-1350654|156831|192387
24470|M|Diamond Snowflake Ivan Flokati|SRS non ns 11|...|KVL 99-192-1025-9 RIEX||
26366|M|DK All-Saints Patrick|SRL non c 09|07-11-2009|FD LO 158011|26341|26347
26368|F|DK All-Saints Polly|SRL non c 09|07-11-2009|FD LO 158012|26341|26347
34120|M|DK Boholdt Pablo Picasso|SRS non g 03|29-07-2008|FD LO 155372|17008|14796
36422|F|DK Calico Moon's Frida Kahlo|SRS non f|11-03-2008|FD RX 154231|16413|162107
36425|F|DK Calico Moon's Let Sun Shine|SRS non a 33|28-07-2007|FD RX 152964|22329|162107
36429|F|DK Calico Moon's Opal Fire|SRS non f|06-04-2009|FD RX 156730|17550|36422
36430|M|DK Calico Moon's Pablo Picasso|SRS non a|11-03-2008|FD RX 154232|16413|162107
42864|M|DK Crispus' Luke Skywalker|SRL non w 62|08-10-2007|FD LO 154653|58754|183415
45761|M|DK DetVarKattens Academy Award|SRS non d 03 2|08-01-2009|FD RX 156306|181647|38233
72061|M|DK Ligaen Fox Trot|SRS non f 03|12-02-2009|FD RX 156262|15344|123061
72065|F|DK Ligaen Jive D'manns|SRL non f 03|12-02-2009|FD RX 156260|15344|123061
72068|M|DK Ligaen River Dance|SRL non es 03|12-02-2009|FD RX 156263|15344|123061
72069|F|DK Ligaen Rumba|SRL non ns 11|12-02-2009|FD RX 156261|15344|123061
79797|F|DK Mischek Elektra|SRL non d 22|20-04-2010|(DK)FD LO 158842|172450|169995
83171|F|DK Nadikat's Anubis|SRS non ns 03 |26-08-2008|FD LO 156253|181287|171819
85535|M|DK Noer's Ganzo|SRS non n 33|18-05-2009|FD RX 157188|16413|36425
85629|F|DK Noer's Miss Marbel|SRS non n|13-07-2008|FD RX 156199|112619|36425
85716|M|DK Noer's Stichts|SRS non n 33|18-05-2009|FD RX 157186|16413|36425
86755|M|DK Nyx Illidan Stormrage|SRL non f|24-10-2008|FD LO 156079|131565|131564
89211|M|DK Pasht's Krøl-Bøf|SRS non n|20-07-2010|(DK)FD RX 200623|16413|85629
89254|M|DK Pasht's Mr. Mumse|SFL non n 09 7|04-11-2005|FD RX 138199|377|89147
98411|M|DK Sevastopol's Bella White|NEM n 21|01-09-2009|FD LO 177663|133548|98431
98431|F|DK Sevastopol's Marya Dolohova|NEM n 21|27-05-2007|FD LO 147428|5023|5031
101923|F|DK Snugglebugs Aurora|SRS non e 03 2|04-04-2008|FD RX 154709|153736|101928
101929|F|DK Snugglebugs Guldlok|SRL non a 03|04-04-2008|FD RX 154710|153736|101928
106246|M|DK Tascoon's Castello|SRS non g 03|01-04-2008|FD RX 154812|190439|19623
108207|F|DK Timian's Fuyuko|JBT f 01|30-12-2008|FD RX 156715|11094|193276
108209|F|DK Timian's Hanako|JBT n 02|10-02-2007|FD RX 145926|137902|193276
108212|M|DK Timian's Hotaka|JBT n 02|10-02-2007|FD RX 145925|137902|193276
108214|M|DK Timian's Katsu|JBT n 03|28-01-2008|FD LO 154130|137902|11093
108226|M|DK Timian's Takeshi|JBT d 03|28-01-2008|FD LO 154132|137902|11093
108228|M|DK Timian's Tora|JBT d 01|30-12-2008|FD RX 156718|11094|193276
108229|M|DK Timian's Toshiro|JBT d 01|30-12-2008|FD RX 156717|11094|193276
108233|F|DK Timian's Yukiko|JBT n 03|10-02-2007|FD RX 145927|137902|193276
108234|F|DK Timian's Yuri|JBT n 03|28-01-2008|FD LO 154131|137902|11093
118049|M|Dolunay af Misapotanien|SRL non c 09|05-05-2010|(DK)FD RX 158711|193059|163991
120922|F|Esmyralda van Ortisei|BOM non n|...|VKS 8312-95K|154831|131376
121715|F|Fantagiró Dargento|SRS non es 11|13-07-2008|FD LO 156184|123147|18896
122798|F|FIN*Alchemist Citalopram|SRL non a 03|06-02-2007|SRK LO 30674|179689|122799
123682|M|FIN*Seer's Silver Leaf|SRL non ns 33|26-08-2005|SRK LO 28077|14247|123679
124211|F|Flashpaws Paint Box|SRS non f|...|GCCF CSSR 084989||
125396|M|Fuego vom Chamäleon|SRL non w 62|...|FFH LO 51746||
125409|M|Fujicats Sumochin of Nekomo|JBT n 09|25-10-2000|CFA 6660-1340251 V0502|16258|155573
125539|F|Furrfayar Omcha of Choneko|JBT f 09|...|CFA 6649-241525 V0487|139208|125540
125540|F|Furrfayar's Madame Butterfly|JBT x|...|CFA 6691-000046 V112||
126393|M|Genki of Abenese|JBT n 09|...|CFA 6660-0048 V111||
126858|F|Gina v. Bertringa|THA non|...|WCF DE 00684 RIEX||
127289|F|Gloria v. Katharineholz|SRS non f 03|...|TICA CU SR260501 002|193603|22905
128175|F|Grenouille Bakasu|JBT f|...|CFA 6647-068766|150738|128177
128176|F|Grenouille Mosimosi of Bassetti, DM|JBT f 09|...|CFA 6649-203528 V0784|128178|139209
128177|F|Grenouille Neko San|JBT f|...|CFA 6647-000019 V0281||
128178|M|Grenouille Tomo-Ko San|JBT n 09|...|CFA 6660-054835|150738|176317
128179|M|Grenouille Tomo's Herbtsumi|JBT n 09|...|CFA 6660-128670 V0784|128178|128175
128180|F|Grenouille's Yuki Tanuki of Kiddlyn|JBT f 09|...|CFA 6691-286646 V0986||
129275|M|Handsome Cinnamon von Grigoleit|SRL non b 09|...|EC-SEL-LO-3013/1.05|133549|166018
131289|F|Honey Lana van Brifety|SRS non h|...|NCT A2004-7865|178073|11761
132230|M|IDP*Monzabina's Ante|SRL non ns|...|(S)SVERAK RX 164910||
132497|F|I'm The Greatest vom Grutholz|SRS non q|...|EC-Sel-R-0503-211||
132814|M|Insider's Curly Carlson|SRL non a|...|TICA AON 082100 017||
132816|F|Insider's First Lady Curly|SRS non as 11|21-08-2000|TICA AON 082100 030||
133549|M|Jack in the Box vom Grutholz|SRL non c 09|...|EC-SEL-R-0503-215|186282|164064
134427|M|Jengari Paddy O'Malley|SRS non d|...|GCCFV 03GC20089|193411|157224
134432|M|Jenirex Captain Pugwash|SRS non n|...|GCCF CSSR 319934|23469|134433
134795|M|Jinx av Ulse (N)|SRL non n 33|23-02-2008|FD LO 156177|156670|19001
134924|M|Jofra's Curly Camelot|SRS non a|05-02-2008|FD RX 154967|16070|22330
136831|M|Karpfenpfeifer Bandith of Royalbear|SRL non a 22|05-01-2001|TICA AOP 050101 036|127075|132816
136832|F|Karpfenpfeifer's Carline|SRS non a|01-05-2001|TICA AON 050101 009|127075|132816
137139|M|Katrin's Curly Delphi|SRS non a|29-03-2006|SVERAK RX 234353|176705|23291
137260|M|Katzshack's Brando|SRS non ns 11|15-07-1997|CFA 4732-1197236|192386|20477
137854|F|Kiasutha Singin The Blues of Pamacs|SRL non a|31-07-1997|CFA 5707-1179597|143277|146677
137887|F|Kiddlyn Sharibetsu|JBT n|19-09-1996|CFA 6609-1096637 V1197|16257|137892
137888|F|Kiddlyn's Atarashii of Rockinashi, DM|JBT f 09|...|CFA 6649-718414 V0692|183381|137908
137889|F|Kiddlyn's Chairo|JBT n 23|19-01-2000|CFA 6645M-1295527 V0402|16257|137892
