288   |M|(N)Coco Islands' Leo                  |NFO n 09 22 |30-11-1999|FD RX 13975        
97957 |M|DK Seierø's Jackie Chan               |RAG a       |29-06-2003|FD RX 122551       
98121 |M|DK Sekita's Obelix                    |NFO d       |07-11-1996|FD LO 87995        
98590 |M|DK ShaggyTail's Hercules              |NFO a 02    |15-04-2006|FD LO 140683       
99301 |M|DK Silent Hunter's Master Camicoon    |MCO n 09 23 |16-04-2009|FD LO 175675       
99509 |M|DK Silky Sox Nugget                   |SBI n       |02-07-2006|FD LO 142117       
99828 |M|DK Silverwood's Big Brown Bastian, DM |NFO n 23    |20-05-1995|FD LO 81066        
99839 |M|DK Silverwood's Dark Disney Design    |NFO n 22    |16-03-1996|FD LO 84448        
100125|M|DK Sir && Lady's Sir Qharim           |SBI n 21    |01-07-2005|FD LO 136660       
101582|M|DK Smurfs Loke by Spike               |RUS         |01-02-2008|FD LO 154039       
101592|M|DK Smurfs Rosencrantz Hamlet          |RUS         |13-05-2003|FD LO 122180       
103309|M|DK Starkad's Dianthus                 |NFO n 09    |29-08-1995|FD LO 82380        
103421|M|DK Starsfromheaven's Balder           |EUR ns 22   |21-06-2003|FD LO 121878       
104396|M|DK Strandosens Dusty                  |NFO ns      |02-11-2003|FD LO 124675       
104546|M|DK Støvlecat's Emir von Stolten       |SBI a       |03-06-2000|FD LO 104577       
105725|M|DK Søkjær's Grinni                    |SBI a       |27-08-2005|FD LO 136892       
105762|M|DK Søkjær's Unique                    |SBI n       |01-05-2009|FD LO 175735       
106207|M|DK Tappernøje's Snowfox               |MCO w       |23-10-2001|FD LO 112269       
108003|M|DK Tilia Nova's Domingo, DM           |NFO ns 09 23|10-03-1994|FD RX 9498         
108041|M|DK Tilia Nova's Ingjalf               |NFO n 09 23 |11-05-1996|FD LO 85155        
108471|M|DK Tinja Skoven's Gustav Wied Junior  |NFO w       |02-09-1992|FD LO 69085        
108484|M|DK Tinja Skoven's Snekat              |NFO w       |01-12-1996|FD LO 88032        
112830|M|DK Von Frey's Davinci                 |SBI n       |29-04-2008|FD LO 171580       
113325|M|DK Vossevangen's Supermand            |NFO d 09    |06-11-1991|FD LO 65637        
113377|M|DK Wabanaki's Fox Mulder              |MCO n 22    |19-03-1997|FD LO 89255        
113903|M|DK Wee-Ko's Against all odds          |OSH n       |25-01-1994|FD LO 74974        
115111|M|DK Wicca Shaicoona Nemo               |MCO n 22    |23-10-2003|FD LO 124469       
115278|M|DK Wiki's Dusti                       |SBI b       |29-11-1999|FD LO 102489       
115288|M|DK Wiki's Fabio Orlando               |BRI a       |06-01-2007|FD LO 145435       
115327|M|DK Wiki's Jacqou                      |BRI a       |16-07-2001|FD RX 111829       
115847|M|DK Witzansky's Disney                 |SBI a 21    |15-05-2008|FD LO 172672       
116340|M|DK Ydegård Thyge                      |MCO as 22   |16-03-1999|FD LO 99102        
117248|M|DK Zibrandtsen's røde Frede           |BRI d       |09-04-2000|FD LO 104010       
117876|M|Doceau's Sir Henry                    |BUR n       |08-11-2004|FD LO 133252       
119352|M|Edison af Misapotanien                |BML ns 11   |04-02-1999|FD LO 98471        
120016|M|Elusive's The Big Easy                |PER e       |31-03-1988|FD LO 57620        
120078|M|Elvis Rosa Glauca, CZ                 |RUS         |12-01-2003|FD LO 121523       
120197|M|Emil i Lönneberga Felis Audax DK      |NFO d 23    |03-10-1997|FD LO 91957        
120381|M|Empire's Didrik                       |BRI a       |20-06-2005|FD LO 135414       
120387|M|Empire's Drill Spirille               |PER e 33    |20-05-1986|FD LO 44004        
120480|M|Empire's Woody Woodpecker             |PER d 33    |29-03-1989|FD LO 55345        
122821|M|FIN*Anemon's Agostino                 |SBI a       |27-10-2000|FD LO 108287       
123080|M|FIN*Dunderkattens Sigurd              |NFO a 09    |27-10-2003|FD LO 125450       
123137|M|FIN*Feanorian Bow Wow                 |OSH c       |14-07-2007|FD LO 153253       
123830|M|FIN*Tähtiyön Alfa                     |NFO n 09    |27-04-1993|FD LO 74468        
124477|M|Flødekaramel Felis Jubatus, DM        |NFO e 09    |02-01-1998|FD LO 93411        
124716|M|Foxy Lavender Louie                   |PER c       |10-04-1996|FD LO 88078        
124792|M|Framor's Sunny Bono, DM               |PER n       |05-05-1991|FD LO 65196        
126787|M|Gillerin's Vintage Year of Wehnert    |SBI n       |17-06-1998|FD LO 97707        
126950|M|Giovanna's A Don Camillo              |SBI n       |27-07-1997|FD LO 93116        
128171|M|Grenoble's King Oberon, DSM           |BRI e       |31-05-2003|FD LO 126660       
128435|M|Guldfakse's Chief Two Moons, DM, DSM  |MCO d 23    |14-05-1996|FD LO 86543        
128474|M|Guldfakse's Flash Gordon              |MCO ns 23   |14-02-1991|FD LO 62490        
128647|M|Guldfakse's White Wolf                |MCO w 62    |04-11-2002|FD LO 119295       
128867|M|Gustav Vasa Felis Jubatus, DM         |NFO a 09    |26-07-1995|FD LO 81346        
128875|M|Guttorm Granlien Felis Jubatus        |NFO a 09    |04-07-1991|FD LO 64352        
129028|M|Hagrid Dell'Aurora del Nord*I         |NFO ds 09 24|08-05-2004|FD LO 130641       
129284|M|Handyman of Melampus                  |PER n       |11-12-1988|FD LO 53953        
129517|M|Harley Davidson Felis Jubatus         |NFO ns      |11-06-2004|FD LO 127638       
129838|M|Harwood Georgia Pride                 |PER d 03    |07-07-1991|FD LO 65612        
130475|M|Helios von Achor*CH, DSM              |SBI c       |15-02-2000|FD LO 103292       
130793|M|Hevengift Lord Alleuluia              |MCO n 09 23 |11-09-1986|FD LO 45656        
131082|M|Hit the road "Jack" af Dé Chawié DK   |PER d 03    |19-05-1996|FD LO 85907        
131775|M|Hylsyde Tacomah                       |MCO n 09 22 |03-04-2000|FD LO 105051       
132651|M|Indigo av Buerlia(N)                  |RUS         |05-01-1996|FD LO 88537        
133336|M|It's a Diamond van Prodanâ            |PER a       |06-06-1988|FD LO 52235        
133741|M|Jahaad's Dixieland of Wehnert         |SBI a       |07-04-2006|FD LO 143298       
138012|M|Kikicat Special Dreamweaver           |EXO as 03 22|30-03-1997|FD LO 97815        
138756|M|Kingstown's Bodyguard                 |PER n 33    |03-04-1993|FD LO 71195        
139899|M|Klivager's Fimpe                      |BUR n       |20-06-1989|FD LO 56157        
139931|M|Klivager's Quincy                     |BUR b       |12-11-1994|FD LO 78866        
140172|M|Kongshøj's Miki                       |PER d 03    |24-08-1990|FD LO 60657        
140402|M|Kornheddinge Zeus                     |EUR d 22    |22-04-1985|FD RX 4314         
140883|M|Kvilles Frode Fredegod                |NFO ns      |17-04-1988|FD LO 50956        
141096|M|Kyprianos Bocephus                    |BRI a       |06-01-1992|FD RX 10438        
142485|M|Lauralas Made N the Shade of Framor   |PER n       |01-03-1987|FD LO 70871        
144149|M|Lord Shannon v. Brettachtal, DM       |PER ns 12   |01-08-1984|FD LO 39112        
144282|M|Loui Braun Brimiso                    |SIA n       |13-05-1989|FD LO 54837        
144344|M|Love Explosion's Mister Blue Kadir    |NFO as 09 22|20-02-2000|FD LO 109962       
144499|M|Lucca's Donatello                     |PER e       |18-05-1990|FD LO 70029        
145376|M|Løve Hulen's Black Pirate             |MCO n 09    |08-05-2005|FD LO 134640       
145719|M|Løve Hulen's Hurricane Mitch          |MCO d 22    |18-01-1999|FD LO 98541        
145785|M|Løve Hulen's King of Hearts           |MCO n 22    |12-12-2002|FD LO 119323       
145995|M|Løve Hulen's Night Hunter             |MCO ns 22   |11-12-1992|FD LO 70127        
146148|M|Løve Hulen's Scoop                    |MCO n 22    |18-11-2000|FD LO 107182       
146877|M|Magic von Suratthani                  |BEN n 24    |23-06-2006|FD LO 142689       
147134|M|Maineline's Addison                   |MCO n 23    |22-06-1987|FD LO 52502        
149100|M|Master-Frank von Goldregen            |PER n 02 62 |20-08-1983|FD LO 48779        
149540|M|Maya Syrto                            |BRI ns 11   |05-11-1992|FD RX 8506         
149646|M|Maydan-Shah's Mellow Yellow           |PER e       |22-03-1990|FD LO 58674        
149663|M|Maydan-Shah's Pump The Jam            |PER a       |24-08-1990|FGK 0620-01        
149686|M|Maydan-Shah's True Devotion           |PER a 03    |11-06-1993|FD LO 72341        
150036|M|Melinar Sweet Prince                  |SIA n       |24-06-1990|FD LO 61086        
152302|M|Misty Brown's Cheyenne                |PER e 33    |29-08-1998|FD LO 96560        
152396|M|Misty Brown's Fireball                |PER d 33    |10-06-2004|FD LO 128088       
152592|M|Misty Brown's Lilac Face              |PER c 33    |29-05-1991|FD LO 63148        
152743|M|Misty Brown's Mr. Moonglow            |PER a 33    |27-07-1998|FD LO 96553        
153047|M|Misty Brown's Sweet Swing King        |PER n       |30-06-1991|FD LO 63161        
153610|M|Monty Marnio Shattea DK               |SBI a       |12-11-2003|FD LO 125023       
153892|M|Mossrose Cheyenne Autumn              |PER d       |06-07-1992|FD LO 69501        
154254|M|MtKittery Bemis, DM                   |MCO a 22    |09-07-1992|FD LO 72465        
154259|M|MtKittery Casco                       |MCO n 23    |22-04-1991|FD LO 70030        
154260|M|MtKittery Cooper                      |MCO es 22   |21-02-1991|FD LO 64313        
154266|M|MtKittery Jackman                     |MCO n 23    |07-07-1989|FD LO 59490        
154278|M|MtKittery Socko P.                    |MCO d 23    |16-04-1990|FD LO 65161        
154389|M|Mumindalens Mucki                     |EUR ns 22   |08-10-1998|FD LO 97734        
155053|M|Nanannan van het Hof van Logres       |BRI a       |14-03-2008|FD LO 155073       
155370|M|Navngivet af Felis Jubatus            |NFO a 23    |18-07-1993|FD LO 72864        
155505|M|Nebsagers Uppercut, DSM               |PER a 24    |08-09-1997|FD LO 92676        
155981|M|Nicci Picci Unikum from Chenet        |PER ny 11   |26-04-2005|FD LO 134689       
156221|M|Nikko af Frennepark                   |PER a 03    |13-06-1986|FD LO 44074        
156617|M|Nissen's Vimmer                       |SIA a       |15-04-1998|FD LO 94786        
157411|M|Odin 04-37                            |BRI a       |13-05-2004|FD LO 128105       
157602|M|Okonor Hakuna Matata                  |SIA b       |17-01-1995|FD LO 101599       
160184|M|Pawcatuck Bruiser                     |MCO a 22    |02-08-1990|FD LO 62340        
160476|M|Pencena Ebony, DM                     |BUR n       |17-04-1986|FD LO 43613        
160924|M|Permobiles Dancing Star               |PER e 33    |10-08-1991|FD LO 65588        
161121|M|Petovia's Rocky                       |PER ns      |08-07-2001|FD LO 113345       
161751|M|Pirol's Call Me Smacher               |PER d       |15-05-1988|FD LO 51900        
161774|M|Pirol's Red Baron                     |PER d       |27-06-1984|FD LO 37872        
162291|M|Positively Pythagoras                 |BRI a       |19-08-1998|FD LO 97845        
162424|M|Prancenpaws Misseltoe                 |PER e 33    |26-09-1993|NRR LO 118119      
163231|M|Purrsay's Sundance Kid                |PER d       |03-10-1990|FD LO 64246        
163394|M|Pussini's Jack Daniels                |EXO n 22    |27-06-1998|FD RX 14307        
163682|M|Qee-Lonje af Clipper                  |PER b 33    |20-04-1991|FD LO 62500        
165131|M|Ratchasima's Red Devil                |NFO ds 09 11|04-06-1988|FD RX 5474         
165515|M|Remis Felis Jubatus, DM               |NFO n       |20-09-1997|FD LO 92147        
166031|M|Rixa Uzo                              |MCO a 22    |28-10-2003|FD LO 132096       
166370|M|Romio Chocacholic                     |BUR b       |11-08-1996|FD LO 88378        
166811|M|Royal Row Candyman                    |PER n 33    |19-03-1988|FD LO 53956        
167978|M|S*Backkara's Lambrusco                |SBI b       |08-09-1999|FD LO 125316       
168008|M|S*Backkara's Nogger                   |SBI b       |13-11-1999|FD LO 102304       
168225|M|S*Bokbacken's Charmör                 |BRI b       |08-02-2006|FD LO 142205       
168453|M|S*Chendos Rag's Elijah                |RAG a 04 21 |27-10-2005|FD LO 138618       
168462|M|S*Chewbacca's Reddie Eddie            |NFO d 09 23 |13-01-2001|FD LO 110226       
170135|M|S*Jawora's Flimmer                    |NFO n 09 24 |24-02-2004|FD LO 127374       
170892|M|S*Louisedolls Java Darknes            |RAG b 03    |28-07-2009|FD LO 177692       
171620|M|S*Niwel Heat Of The Night             |EXO n       |18-04-2003|FD LO 126938       
172118|M|S*Raus Höjden's Andante               |SBI b       |11-05-1998|FD LO 95927        
173191|M|S*Tauron's Rudolf Rotnase             |NFO d 09    |16-10-1994|FD RX 13193        
173496|M|S*Ulabrands Merlot                    |NFO as 09 22|15-08-2002|FD LO 123882       
173569|M|S*Vadmarken's Bacchus                 |BRI d       |15-12-2004|FD LO 132278       
174415|M|Salty Dog de Broeckloni               |BRI ns 22   |21-03-1994|FD RX 10053        
175797|M|Sebastian de Pablo Diablo(N)          |NFO d 09 22 |23-04-1992|FD LO 69040        
175971|M|Sepp 92-150                           |OSH n 24    |08-09-1992|FD LO 69184        
178027|M|Silver Spirit Felis Jubatus           |NFO ns 09 23|18-07-2003|FD LO 122871       
178144|M|Silvergrey Paragon Blue Fiver, DSM    |RUS         |19-04-2004|FD LO 130020       
178265|M|Simba af Fredenslund                  |ABY n       |11-06-1992|FD LO 67815        
178558|M|Sir Geraint á Chardani DK             |RAG n 03    |07-05-2003|FD RX 121205       
178850|M|Skovhugger Felis Jubatus              |NFO w       |05-09-1994|FD LO 77429        
179791|M|Sorano's Black Kazam                  |PER n       |13-10-1989|FD LO 57090        
180036|M|South Paw Sunset Blvd of Framor       |PER d       |06-04-1990|FD LO 82394        
180217|M|Sphinx Boy Wonder                     |OSH n       |11-05-1991|FD LO 63294        
182088|M|Sussibella's Tornada                  |PER a 33    |16-10-1987|FD LO 49858        
182205|M|Swarthy Swatter of Stenius            |BUR n       |17-08-1990|FD LO 60275        
182246|M|Sweet Cat's Nights In White Satin, JW |SIA n       |24-04-2003|FD LO 121606       
182338|M|Sweet Sandy af Reedtz                 |PER e       |23-04-1989|FD LO 55320        
182598|M|Syriam's Buster                       |BRI c       |15-08-1994|FD RX 9922         
182789|M|Syriam's Marty                        |BRI c 33    |07-04-1995|FD RX 10387        
182842|M|Syriam's Pavarotti                    |BRI e 03    |11-09-1991|SVERAK RX 130188   
183746|M|Tara's Alaska Boy                     |MCO ns 22   |27-07-1994|FD RX 10213        
184290|M|Tenra's Toyboy                        |PER ns 03 22|04-07-1995|FD RX 10758        
184637|M|Thamakan Silver Frédéric              |BML ns 11   |30-03-1992|FD RX REG 1548     
185366|M|Thundercats Welcome to the Future     |MCO n 22    |24-07-1996|FD RX 11627        
185495|M|Tiffany af Fort Øst                   |PER a 33    |14-02-1989|FD LO 54408        
185971|M|Tiptap-Tomtom's Asterion              |SIA n       |03-05-1995|FD LO 82522        
186939|M|Trollehöjds Garudha                   |SBI n       |24-08-1987|FD LO 50081        
188432|M|Valhalla's Frey                       |BRI a       |16-01-2003|FD LO 119816       
188510|M|Valhalla's Lodbrog                    |BRI a       |05-01-1999|FD LO 98253        
191486|M|Wilton Song Hio DK                    |SBI b       |17-07-1999|FD LO 101343       
192733|M|Xiro Lovely Panther, CZ, DVM          |BRI a       |17-02-2007|FD LO 152853       
194214|M|Änghagens Purple Pride, DM            |SBI c 21    |10-02-1991|FD LO 65121        